year,week,date,team,rank
2016,2016-W34,2016-08-27,Alabama,1
2016,2016-W34,2016-08-27,Oklahoma,3
2016,2016-W34,2016-08-27,Stanford,3
2016,2016-W34,2016-08-27,Tennessee,4
2016,2016-W34,2016-08-27,Baylor,7
2016,2016-W34,2016-08-27,Washington,7
2016,2016-W34,2016-08-27,Clemson,7
2016,2016-W34,2016-08-27,Ohio St,10
2016,2016-W34,2016-08-27,TCU,10
2016,2016-W34,2016-08-27,Mississippi,10
2016,2016-W34,2016-08-27,LSU,12
2016,2016-W34,2016-08-27,Florida St,12
2016,2016-W34,2016-08-27,Michigan,14
2016,2016-W34,2016-08-27,Arkansas,14
2016,2016-W34,2016-08-27,"Miami, Fl",15
2016,2016-W34,2016-08-27,Houston,16
2016,2016-W34,2016-08-27,Texas,18
2016,2016-W34,2016-08-27,Miss St,18
2016,2016-W34,2016-08-27,Nebraska,20
2016,2016-W34,2016-08-27,Michigan St,20
2016,2016-W34,2016-08-27,USF,25
2016,2016-W34,2016-08-27,Wash St,25
2016,2016-W34,2016-08-27,Louisville,25
2016,2016-W34,2016-08-27,N Carolina,25
2016,2016-W34,2016-08-27,Oregon,25
2016,2016-W34,2016-08-27,Kansas St,32
2016,2016-W34,2016-08-27,Auburn,32
2016,2016-W34,2016-08-27,Georgia,32
2016,2016-W34,2016-08-27,USC,32
2016,2016-W34,2016-08-27,Virginia Tech,32
2016,2016-W34,2016-08-27,San Diego St,32
2016,2016-W34,2016-08-27,Notre Dame,32
2016,2016-W34,2016-08-27,Oklahoma St,36
2016,2016-W34,2016-08-27,Wisconsin,36
2016,2016-W34,2016-08-27,Iowa,36
2016,2016-W34,2016-08-27,BYU,36
2016,2016-W34,2016-08-27,West Virginia,40
2016,2016-W34,2016-08-27,Minnesota,40
2016,2016-W34,2016-08-27,Arizona St,40
2016,2016-W34,2016-08-27,Boise St,40
2016,2016-W34,2016-08-27,Colorado,42
2016,2016-W34,2016-08-27,Pittsburgh,42
2016,2016-W34,2016-08-27,Utah,46
2016,2016-W34,2016-08-27,Arizona,46
2016,2016-W34,2016-08-27,WKU,46
2016,2016-W34,2016-08-27,Toledo,46
2016,2016-W34,2016-08-27,California,47
2016,2016-W34,2016-08-27,Northwestern,52
2016,2016-W34,2016-08-27,Memphis,52
2016,2016-W34,2016-08-27,Georgia Tech,52
2016,2016-W34,2016-08-27,UCLA,52
2016,2016-W34,2016-08-27,W Michigan,52
2016,2016-W34,2016-08-27,Penn St,53
2016,2016-W34,2016-08-27,Iowa St,58
2016,2016-W34,2016-08-27,N Carolina St,58
2016,2016-W34,2016-08-27,Boston College,58
2016,2016-W34,2016-08-27,Virginia,58
2016,2016-W34,2016-08-27,Georgia Southern,58
2016,2016-W34,2016-08-27,Texas A&M,61
2016,2016-W34,2016-08-27,Missouri,61
2016,2016-W34,2016-08-27,Air Force,61
2016,2016-W34,2016-08-27,S Carolina,64
2016,2016-W34,2016-08-27,Cincinnati,64
2016,2016-W34,2016-08-27,Connecticut,64
2016,2016-W34,2016-08-27,Florida,71
2016,2016-W34,2016-08-27,Texas Tech,71
2016,2016-W34,2016-08-27,Indiana,71
2016,2016-W34,2016-08-27,Temple,71
2016,2016-W34,2016-08-27,Navy,71
2016,2016-W34,2016-08-27,C Michigan,71
2016,2016-W34,2016-08-27,Bowling Green,71
2016,2016-W34,2016-08-27,Vanderbilt,75
2016,2016-W34,2016-08-27,Illinois,75
2016,2016-W34,2016-08-27,Duke,75
2016,2016-W34,2016-08-27,Wake Forest,75
2016,2016-W34,2016-08-27,Kentucky,78
2016,2016-W34,2016-08-27,Syracuse,78
2016,2016-W34,2016-08-27,Middle Tenn,78
2016,2016-W34,2016-08-27,Tulsa,82
2016,2016-W34,2016-08-27,N Illinois,82
2016,2016-W34,2016-08-27,S Miss,82
2016,2016-W34,2016-08-27,Marshall,82
2016,2016-W34,2016-08-27,E Carolina,85
2016,2016-W34,2016-08-27,La Tech,85
2016,2016-W34,2016-08-27,Arkansas St,85
2016,2016-W34,2016-08-27,Purdue,89
2016,2016-W34,2016-08-27,Ohio,89
2016,2016-W34,2016-08-27,San Jose St,89
2016,2016-W34,2016-08-27,Appalachian St,89
2016,2016-W34,2016-08-27,Maryland,93
2016,2016-W34,2016-08-27,Nevada,93
2016,2016-W34,2016-08-27,Utah St,93
2016,2016-W34,2016-08-27,Akron,93
2016,2016-W34,2016-08-27,Oregon St,96
2016,2016-W34,2016-08-27,New Mexico,96
2016,2016-W34,2016-08-27,Army,96
2016,2016-W34,2016-08-27,Kent St,97
2016,2016-W34,2016-08-27,FAU,98
2016,2016-W34,2016-08-27,Rutgers,100
2016,2016-W34,2016-08-27,SMU,100
2016,2016-W34,2016-08-27,Colorado St,105
2016,2016-W34,2016-08-27,"Miami, OH",105
2016,2016-W34,2016-08-27,Wyoming,105
2016,2016-W34,2016-08-27,UNLV,105
2016,2016-W34,2016-08-27,Troy,105
2016,2016-W34,2016-08-27,UTEP,107
2016,2016-W34,2016-08-27,Georgia St,107
2016,2016-W34,2016-08-27,Kansas,109
2016,2016-W34,2016-08-27,Old Dominion,109
2016,2016-W34,2016-08-27,Fresno St,111
2016,2016-W34,2016-08-27,Buffalo,111
2016,2016-W34,2016-08-27,Rice,112
2016,2016-W34,2016-08-27,E Michigan,114
2016,2016-W34,2016-08-27,Ball St,114
2016,2016-W34,2016-08-27,Tulane,116
2016,2016-W34,2016-08-27,FIU,116
2016,2016-W34,2016-08-27,UCF,119
2016,2016-W34,2016-08-27,UMass,119
2016,2016-W34,2016-08-27,N Mexico St,119
2016,2016-W34,2016-08-27,S Alabama,120
2016,2016-W34,2016-08-27,UTSA,123
2016,2016-W34,2016-08-27,North Texas,123
2016,2016-W34,2016-08-27,Louisiana,123
2016,2016-W34,2016-08-27,Idaho,124
2016,2016-W34,2016-08-27,Charlotte,126
2016,2016-W34,2016-08-27,ULM,126
2016,2016-W34,2016-08-27,Texas St,127
2016,2016-W34,2016-08-27,Hawaii,128
2016,2016-W35,2016-09-04,Houston,1
2016,2016-W35,2016-09-04,Stanford,2
2016,2016-W35,2016-09-04,Alabama,3
2016,2016-W35,2016-09-04,Clemson,4
2016,2016-W35,2016-09-04,Wisconsin,5
2016,2016-W35,2016-09-04,Georgia,6
2016,2016-W35,2016-09-04,Texas,7
2016,2016-W35,2016-09-04,Ohio St,8
2016,2016-W35,2016-09-04,BYU,9
2016,2016-W35,2016-09-04,Tennessee,10
2016,2016-W35,2016-09-04,Arkansas,11
2016,2016-W35,2016-09-04,West Virginia,12
2016,2016-W35,2016-09-04,Washington,13
2016,2016-W35,2016-09-04,W Michigan,14
2016,2016-W35,2016-09-04,Georgia Tech,15
2016,2016-W35,2016-09-04,Texas A&M,16
2016,2016-W35,2016-09-04,Nebraska,17
2016,2016-W35,2016-09-04,Toledo,18
2016,2016-W35,2016-09-04,Baylor,19
2016,2016-W35,2016-09-04,Minnesota,20
2016,2016-W35,2016-09-04,TCU,21
2016,2016-W35,2016-09-04,Mississippi,24
2016,2016-W35,2016-09-04,Iowa,24
2016,2016-W35,2016-09-04,S Carolina,24
2016,2016-W35,2016-09-04,S Alabama,25
2016,2016-W35,2016-09-04,Florida St,26
2016,2016-W35,2016-09-04,Michigan,28
2016,2016-W35,2016-09-04,"Miami, Fl",28
2016,2016-W35,2016-09-04,Colorado,29
2016,2016-W35,2016-09-04,Michigan St,31
2016,2016-W35,2016-09-04,Penn St,31
2016,2016-W35,2016-09-04,Oklahoma,32
2016,2016-W35,2016-09-04,Louisville,33
2016,2016-W35,2016-09-04,USF,35
2016,2016-W35,2016-09-04,Oregon,35
2016,2016-W35,2016-09-04,Boise St,36
2016,2016-W35,2016-09-04,WKU,37
2016,2016-W35,2016-09-04,Virginia Tech,39
2016,2016-W35,2016-09-04,San Diego St,39
2016,2016-W35,2016-09-04,Oklahoma St,41
2016,2016-W35,2016-09-04,Eastern Washington,41
2016,2016-W35,2016-09-04,Kansas St,42
2016,2016-W35,2016-09-04,Arizona St,44
2016,2016-W35,2016-09-04,Army,44
2016,2016-W35,2016-09-04,Tulsa,45
2016,2016-W35,2016-09-04,Pittsburgh,46
2016,2016-W35,2016-09-04,Utah,47
2016,2016-W35,2016-09-04,USC,48
2016,2016-W35,2016-09-04,California,49
2016,2016-W35,2016-09-04,Auburn,50
2016,2016-W35,2016-09-04,LSU,52
2016,2016-W35,2016-09-04,Memphis,52
2016,2016-W35,2016-09-04,Wyoming,53
2016,2016-W35,2016-09-04,Florida,54
2016,2016-W35,2016-09-04,Georgia Southern,55
2016,2016-W35,2016-09-04,N Carolina St,57
2016,2016-W35,2016-09-04,Indiana,57
2016,2016-W35,2016-09-04,Notre Dame,59
2016,2016-W35,2016-09-04,Northern Iowa,59
2016,2016-W35,2016-09-04,N Carolina,61
2016,2016-W35,2016-09-04,Air Force,61
2016,2016-W35,2016-09-04,Richmond,62
2016,2016-W35,2016-09-04,Wake Forest,63
2016,2016-W35,2016-09-04,Cincinnati,65
2016,2016-W35,2016-09-04,Connecticut,65
2016,2016-W35,2016-09-04,Texas Tech,68
2016,2016-W35,2016-09-04,Navy,68
2016,2016-W35,2016-09-04,C Michigan,68
2016,2016-W35,2016-09-04,Illinois,70
2016,2016-W35,2016-09-04,Duke,70
2016,2016-W35,2016-09-04,Syracuse,73
2016,2016-W35,2016-09-04,Middle Tenn,73
2016,2016-W35,2016-09-04,Southern Miss,73
2016,2016-W35,2016-09-04,S Miss,75
2016,2016-W35,2016-09-04,Marshall,75
2016,2016-W35,2016-09-04,Bowling Green,76
2016,2016-W35,2016-09-04,E Carolina,77
2016,2016-W35,2016-09-04,Texas St,78
2016,2016-W35,2016-09-04,Purdue,80
2016,2016-W35,2016-09-04,SMU,80
2016,2016-W35,2016-09-04,Arizona,81
2016,2016-W35,2016-09-04,Maryland,86
2016,2016-W35,2016-09-04,Nevada,86
2016,2016-W35,2016-09-04,Utah St,86
2016,2016-W35,2016-09-04,Akron,86
2016,2016-W35,2016-09-04,Ball St,86
2016,2016-W35,2016-09-04,Appalachian St,87
2016,2016-W35,2016-09-04,New Mexico,88
2016,2016-W35,2016-09-04,FAU,89
2016,2016-W35,2016-09-04,La Tech,90
2016,2016-W35,2016-09-04,Missouri,93
2016,2016-W35,2016-09-04,UNLV,93
2016,2016-W35,2016-09-04,Troy,93
2016,2016-W35,2016-09-04,Northwestern,95
2016,2016-W35,2016-09-04,UTEP,95
2016,2016-W35,2016-09-04,Rutgers,98
2016,2016-W35,2016-09-04,Kansas,98
2016,2016-W35,2016-09-04,Old Dominion,98
2016,2016-W35,2016-09-04,UAlbany,99
2016,2016-W35,2016-09-04,Boston College,100
2016,2016-W35,2016-09-04,E Michigan,101
