year,week,date,team,rank
2015,2015-W36,2015-09-06,Alabama,1
2015,2015-W36,2015-09-06,TCU,2
2015,2015-W36,2015-09-06,Texas A&M,3
2015,2015-W36,2015-09-06,Northwestern,4
2015,2015-W36,2015-09-06,Notre Dame,5
2015,2015-W36,2015-09-06,Auburn,7
2015,2015-W36,2015-09-06,Utah,7
2015,2015-W36,2015-09-06,UCLA,8
2015,2015-W36,2015-09-06,Temple,9
2015,2015-W36,2015-09-06,Boise St,10
2015,2015-W36,2015-09-06,Michigan St,11
2015,2015-W36,2015-09-06,BYU,12
2015,2015-W36,2015-09-06,USC,13
2015,2015-W36,2015-09-06,Tennessee,14
2015,2015-W36,2015-09-06,Arkansas,15
2015,2015-W36,2015-09-06,Baylor,17
2015,2015-W36,2015-09-06,South Carolina,17
2015,2015-W36,2015-09-06,Georgia,18
2015,2015-W36,2015-09-06,Marshall,19
2015,2015-W36,2015-09-06,Illinois,20
2015,2015-W36,2015-09-06,Florida St,21
2015,2015-W36,2015-09-06,Oklahoma St,23
2015,2015-W36,2015-09-06,WKU,23
2015,2015-W36,2015-09-06,Ohio St,26
2015,2015-W36,2015-09-06,Oregon,26
2015,2015-W36,2015-09-06,Oklahoma,26
2015,2015-W36,2015-09-06,Hawaii,27
2015,2015-W36,2015-09-06,Mississippi St,28
2015,2015-W36,2015-09-06,Georgia Tech,29
2015,2015-W36,2015-09-06,Mississippi,30
2015,2015-W36,2015-09-06,LSU,31
2015,2015-W36,2015-09-06,Missouri,32
2015,2015-W36,2015-09-06,West Virginia,33
2015,2015-W36,2015-09-06,NC State,34
2015,2015-W36,2015-09-06,Clemson,35
2015,2015-W36,2015-09-06,Arizona,37
2015,2015-W36,2015-09-06,Kentucky,37
2015,2015-W36,2015-09-06,Kansas St,38
2015,2015-W36,2015-09-06,Virginia Tech,39
2015,2015-W36,2015-09-06,FIU,40
2015,2015-W36,2015-09-06,Florida,41
2015,2015-W36,2015-09-06,Wisconsin,43
2015,2015-W36,2015-09-06,Louisiana Tech,43
2015,2015-W36,2015-09-06,Minnesota,47
2015,2015-W36,2015-09-06,Texas Tech,47
2015,2015-W36,2015-09-06,Pittsburgh,47
2015,2015-W36,2015-09-06,California,47
2015,2015-W36,2015-09-06,Duke,48
2015,2015-W36,2015-09-06,Iowa,50
2015,2015-W36,2015-09-06,Rutgers,50
