year,week,date,team,rank
2022,2022-W34,2022-08-28,Northwestern,1
2022,2022-W34,2022-08-28,Georgia,4
2022,2022-W34,2022-08-28,Ohio St,4
2022,2022-W34,2022-08-28,Alabama,4
2022,2022-W34,2022-08-28,Michigan,5
2022,2022-W34,2022-08-28,Notre Dame,6
2022,2022-W34,2022-08-28,Utah,7
2022,2022-W34,2022-08-28,Clemson,8
2022,2022-W34,2022-08-28,Oklahoma St,9
2022,2022-W34,2022-08-28,Baylor,10
2022,2022-W34,2022-08-28,Tennessee,12
2022,2022-W34,2022-08-28,Wisconsin,12
2022,2022-W34,2022-08-28,Pittsburgh,18
2022,2022-W34,2022-08-28,Minnesota,18
2022,2022-W34,2022-08-28,Arkansas,18
2022,2022-W34,2022-08-28,Purdue,18
2022,2022-W34,2022-08-28,Texas A&M,18
2022,2022-W34,2022-08-28,Oklahoma,18
2022,2022-W34,2022-08-28,Iowa,21
2022,2022-W34,2022-08-28,"Miami, Fl",21
2022,2022-W34,2022-08-28,Kansas St,21
2022,2022-W34,2022-08-28,Penn St,26
2022,2022-W34,2022-08-28,Mississippi,26
2022,2022-W34,2022-08-28,Michigan St,26
2022,2022-W34,2022-08-28,Cincinnati,26
2022,2022-W34,2022-08-28,BYU,26
2022,2022-W34,2022-08-28,NC State,30
2022,2022-W34,2022-08-28,Kentucky,30
2022,2022-W34,2022-08-28,Texas Tech,30
2022,2022-W34,2022-08-28,UCLA,30
2022,2022-W34,2022-08-28,Louisville,35
2022,2022-W34,2022-08-28,Wake Forest,35
2022,2022-W34,2022-08-28,Texas,35
2022,2022-W34,2022-08-28,Iowa St,35
2022,2022-W34,2022-08-28,Boise St,35
2022,2022-W34,2022-08-28,Illinois,36
2022,2022-W34,2022-08-28,Mississippi St,38
2022,2022-W34,2022-08-28,UAB,38
2022,2022-W34,2022-08-28,Florida St,39
2022,2022-W34,2022-08-28,Maryland,42
2022,2022-W34,2022-08-28,Auburn,42
2022,2022-W34,2022-08-28,James Madison,42
2022,2022-W34,2022-08-28,UCF,45
2022,2022-W34,2022-08-28,Washington St,45
2022,2022-W34,2022-08-28,Air Force,45
2022,2022-W34,2022-08-28,Georgia St,46
2022,2022-W34,2022-08-28,LSU,50
2022,2022-W34,2022-08-28,Oregon,50
2022,2022-W34,2022-08-28,Oregon St,50
2022,2022-W34,2022-08-28,East Carolina,50
2022,2022-W34,2022-08-28,South Carolina,54
2022,2022-W34,2022-08-28,Houston,54
2022,2022-W34,2022-08-28,West Virginia,54
2022,2022-W34,2022-08-28,Fresno St,54
2022,2022-W34,2022-08-28,Boston College,55
2022,2022-W34,2022-08-28,Utah St,56
2022,2022-W34,2022-08-28,North Texas,57
2022,2022-W34,2022-08-28,WKU,58
2022,2022-W34,2022-08-28,Tulane,64
2022,2022-W34,2022-08-28,Arizona St,64
2022,2022-W34,2022-08-28,Tulsa,64
2022,2022-W34,2022-08-28,Central Michigan,64
2022,2022-W34,2022-08-28,San Diego St,64
2022,2022-W34,2022-08-28,Appalachian St,64
2022,2022-W34,2022-08-28,North Carolina,65
2022,2022-W34,2022-08-28,Syracuse,72
2022,2022-W34,2022-08-28,TCU,72
2022,2022-W34,2022-08-28,Memphis,72
2022,2022-W34,2022-08-28,Navy,72
2022,2022-W34,2022-08-28,SMU,72
2022,2022-W34,2022-08-28,USF,72
2022,2022-W34,2022-08-28,Louisiana,72
2022,2022-W34,2022-08-28,Miami (OH),74
2022,2022-W34,2022-08-28,Old Dominion,74
2022,2022-W34,2022-08-28,Virginia,80
2022,2022-W34,2022-08-28,Washington,80
2022,2022-W34,2022-08-28,Arizona,80
2022,2022-W34,2022-08-28,Stanford,80
2022,2022-W34,2022-08-28,Colorado,80
2022,2022-W34,2022-08-28,Liberty,80
2022,2022-W34,2022-08-28,Vanderbilt,81
2022,2022-W34,2022-08-28,Florida,88
2022,2022-W34,2022-08-28,Missouri,88
2022,2022-W34,2022-08-28,Rutgers,88
2022,2022-W34,2022-08-28,USC,88
2022,2022-W34,2022-08-28,Kansas,88
2022,2022-W34,2022-08-28,UTSA,88
2022,2022-W34,2022-08-28,Army,88
2022,2022-W34,2022-08-28,Indiana,91
2022,2022-W34,2022-08-28,California,91
2022,2022-W34,2022-08-28,Toledo,91
2022,2022-W34,2022-08-28,Virginia Tech,93
2022,2022-W34,2022-08-28,Marshall,93
2022,2022-W34,2022-08-28,Western Michigan,97
2022,2022-W34,2022-08-28,Middle Tenn,97
2022,2022-W34,2022-08-28,Northern Illinois,97
2022,2022-W34,2022-08-28,FAU,97
2022,2022-W34,2022-08-28,Troy,99
2022,2022-W34,2022-08-28,Southern Miss,99
2022,2022-W34,2022-08-28,Ohio,100
2022,2022-W34,2022-08-28,Nevada,101
2022,2022-W34,2022-08-28,Georgia Tech,104
2022,2022-W34,2022-08-28,ULM,104
2022,2022-W34,2022-08-28,Texas St,104
2022,2022-W34,2022-08-28,UNLV,105
2022,2022-W34,2022-08-28,Coastal Carolina,106
2022,2022-W34,2022-08-28,Buffalo,108
2022,2022-W34,2022-08-28,Georgia Southern,108
2022,2022-W34,2022-08-28,Nebraska,109
2022,2022-W34,2022-08-28,Eastern Michigan,111
2022,2022-W34,2022-08-28,South Alabama,111
2022,2022-W34,2022-08-28,Bowling Green,113
2022,2022-W34,2022-08-28,Kent St,113
2022,2022-W34,2022-08-28,Rice,117
2022,2022-W34,2022-08-28,Ball St,117
2022,2022-W34,2022-08-28,San Jose St,117
2022,2022-W34,2022-08-28,Colorado St,117
2022,2022-W34,2022-08-28,New Mexico,119
2022,2022-W34,2022-08-28,Arkansas St,119
2022,2022-W34,2022-08-28,Temple,120
2022,2022-W34,2022-08-28,Louisiana Tech,122
2022,2022-W34,2022-08-28,Akron,122
2022,2022-W34,2022-08-28,Duke,123
2022,2022-W34,2022-08-28,UMass,124
2022,2022-W34,2022-08-28,FIU,125
2022,2022-W34,2022-08-28,Wyoming,126
2022,2022-W34,2022-08-28,Connecticut,127
2022,2022-W34,2022-08-28,UTEP,128
2022,2022-W34,2022-08-28,Hawaii,129
2022,2022-W34,2022-08-28,Charlotte,130
2022,2022-W34,2022-08-28,New Mexico St,131
2022,2022-W35,2022-09-04,Ohio St,1
2022,2022-W35,2022-09-04,Arkansas,2
2022,2022-W35,2022-09-04,Penn St,3
2022,2022-W35,2022-09-04,Georgia,4
2022,2022-W35,2022-09-04,Alabama,5
2022,2022-W35,2022-09-04,Pittsburgh,6
2022,2022-W35,2022-09-04,Oklahoma St,7
2022,2022-W35,2022-09-04,NC State,8
2022,2022-W35,2022-09-04,Oregon St,9
2022,2022-W35,2022-09-04,BYU,11
2022,2022-W35,2022-09-04,Florida St,11
2022,2022-W35,2022-09-04,Florida,12
2022,2022-W35,2022-09-04,South Carolina,13
2022,2022-W35,2022-09-04,Kentucky,14
2022,2022-W35,2022-09-04,Mississippi St,15
2022,2022-W35,2022-09-04,Northwestern,16
2022,2022-W35,2022-09-04,Syracuse,17
2022,2022-W35,2022-09-04,Michigan,18
2022,2022-W35,2022-09-04,Mississippi,21
2022,2022-W35,2022-09-04,Michigan St,21
2022,2022-W35,2022-09-04,Texas,21
2022,2022-W35,2022-09-04,Indiana,22
2022,2022-W35,2022-09-04,Tennessee,24
2022,2022-W35,2022-09-04,SMU,24
2022,2022-W35,2022-09-04,North Carolina,25
2022,2022-W35,2022-09-04,James Madison,26
2022,2022-W35,2022-09-04,Clemson,27
2022,2022-W35,2022-09-04,Baylor,29
2022,2022-W35,2022-09-04,UCLA,29
2022,2022-W35,2022-09-04,Wisconsin,31
2022,2022-W35,2022-09-04,Houston,31
2022,2022-W35,2022-09-04,Oklahoma,33
2022,2022-W35,2022-09-04,Rutgers,33
2022,2022-W35,2022-09-04,Arizona,34
2022,2022-W35,2022-09-04,Notre Dame,35
2022,2022-W35,2022-09-04,Maryland,36
2022,2022-W35,2022-09-04,Minnesota,38
2022,2022-W35,2022-09-04,Texas A&M,38
2022,2022-W35,2022-09-04,Iowa,41
2022,2022-W35,2022-09-04,"Miami, Fl",41
2022,2022-W35,2022-09-04,Kansas St,41
2022,2022-W35,2022-09-04,TCU,42
2022,2022-W35,2022-09-04,Texas Tech,43
2022,2022-W35,2022-09-04,Wake Forest,45
2022,2022-W35,2022-09-04,Iowa St,45
2022,2022-W35,2022-09-04,Old Dominion,46
2022,2022-W35,2022-09-04,UAB,47
2022,2022-W35,2022-09-04,Auburn,48
