year,week,date,team,rank
2023,2023-W34,2023-08-27,Notre Dame,1
2023,2023-W34,2023-08-27,USC,2
2023,2023-W34,2023-08-27,Georgia,3
2023,2023-W34,2023-08-27,Penn St,4
2023,2023-W34,2023-08-27,Michigan,7
2023,2023-W34,2023-08-27,Ohio St,7
2023,2023-W34,2023-08-27,Tennessee,7
2023,2023-W34,2023-08-27,Alabama,9
2023,2023-W34,2023-08-27,Washington,9
2023,2023-W34,2023-08-27,Texas,10
2023,2023-W34,2023-08-27,Florida St,12
2023,2023-W34,2023-08-27,Utah,12
2023,2023-W34,2023-08-27,Iowa,13
2023,2023-W34,2023-08-27,Clemson,15
2023,2023-W34,2023-08-27,LSU,15
2023,2023-W34,2023-08-27,Texas Tech,16
2023,2023-W34,2023-08-27,Oregon St,18
2023,2023-W34,2023-08-27,TCU,18
2023,2023-W34,2023-08-27,Duke,21
2023,2023-W34,2023-08-27,Texas A&M,21
2023,2023-W34,2023-08-27,Oregon,21
2023,2023-W34,2023-08-27,Illinois,23
2023,2023-W34,2023-08-27,Oklahoma,23
2023,2023-W34,2023-08-27,Wisconsin,26
2023,2023-W34,2023-08-27,Kansas St,26
2023,2023-W34,2023-08-27,Kansas,26
2023,2023-W34,2023-08-27,South Carolina,28
2023,2023-W34,2023-08-27,Fresno St,28
2023,2023-W34,2023-08-27,Nebraska,31
2023,2023-W34,2023-08-27,Minnesota,31
2023,2023-W34,2023-08-27,Iowa St,31
2023,2023-W34,2023-08-27,Maryland,33
2023,2023-W34,2023-08-27,Mississippi St,33
2023,2023-W34,2023-08-27,San Diego St,34
2023,2023-W34,2023-08-27,Auburn,40
2023,2023-W34,2023-08-27,Memphis,40
2023,2023-W34,2023-08-27,Tulane,40
2023,2023-W34,2023-08-27,West Virginia,40
2023,2023-W34,2023-08-27,Baylor,40
2023,2023-W34,2023-08-27,James Madison,40
2023,2023-W34,2023-08-27,North Carolina,45
2023,2023-W34,2023-08-27,Pittsburgh,45
2023,2023-W34,2023-08-27,Arkansas,45
2023,2023-W34,2023-08-27,UCLA,45
2023,2023-W34,2023-08-27,Army,45
2023,2023-W34,2023-08-27,Missouri,49
2023,2023-W34,2023-08-27,Mississippi,49
2023,2023-W34,2023-08-27,Kentucky,49
2023,2023-W34,2023-08-27,Troy,49
2023,2023-W34,2023-08-27,Louisville,54
2023,2023-W34,2023-08-27,Wake Forest,54
2023,2023-W34,2023-08-27,Michigan St,54
2023,2023-W34,2023-08-27,UTSA,54
2023,2023-W34,2023-08-27,Air Force,54
2023,2023-W34,2023-08-27,Jacksonville St,55
2023,2023-W34,2023-08-27,Florida,61
2023,2023-W34,2023-08-27,SMU,61
2023,2023-W34,2023-08-27,Arizona,61
2023,2023-W34,2023-08-27,Oklahoma St,61
2023,2023-W34,2023-08-27,Washington St,61
2023,2023-W34,2023-08-27,Boise St,61
2023,2023-W34,2023-08-27,UCF,64
2023,2023-W34,2023-08-27,BYU,64
2023,2023-W34,2023-08-27,WKU,64
2023,2023-W34,2023-08-27,Vanderbilt,65
2023,2023-W34,2023-08-27,NC State,67
2023,2023-W34,2023-08-27,South Alabama,67
2023,2023-W34,2023-08-27,Virginia Tech,72
2023,2023-W34,2023-08-27,"Miami, Fl",72
2023,2023-W34,2023-08-27,Houston,72
2023,2023-W34,2023-08-27,Louisiana,72
2023,2023-W34,2023-08-27,Marshall,72
2023,2023-W34,2023-08-27,Navy,73
2023,2023-W34,2023-08-27,Purdue,75
2023,2023-W34,2023-08-27,East Carolina,75
2023,2023-W34,2023-08-27,Indiana,79
2023,2023-W34,2023-08-27,Syracuse,79
2023,2023-W34,2023-08-27,Toledo,79
2023,2023-W34,2023-08-27,Southern Miss,79
2023,2023-W34,2023-08-27,Georgia Tech,84
2023,2023-W34,2023-08-27,California,84
2023,2023-W34,2023-08-27,FAU,84
2023,2023-W34,2023-08-27,Temple,84
2023,2023-W34,2023-08-27,Cincinnati,84
2023,2023-W34,2023-08-27,Wyoming,87
2023,2023-W34,2023-08-27,Appalachian St,87
2023,2023-W34,2023-08-27,Georgia St,87
2023,2023-W34,2023-08-27,Arizona St,92
2023,2023-W34,2023-08-27,Tulsa,92
2023,2023-W34,2023-08-27,"Miami, Oh",92
2023,2023-W34,2023-08-27,Connecticut,92
2023,2023-W34,2023-08-27,Eastern Michigan,92
2023,2023-W34,2023-08-27,Boston College,93
2023,2023-W34,2023-08-27,UMass,94
2023,2023-W34,2023-08-27,Northwestern,98
2023,2023-W34,2023-08-27,Rutgers,98
2023,2023-W34,2023-08-27,Virginia,98
2023,2023-W34,2023-08-27,Georgia Southern,98
2023,2023-W34,2023-08-27,North Texas,102
2023,2023-W34,2023-08-27,Middle Tenn,102
2023,2023-W34,2023-08-27,Buffalo,102
2023,2023-W34,2023-08-27,Colorado St,102
2023,2023-W34,2023-08-27,ULM,103
2023,2023-W34,2023-08-27,Coastal Carolina,104
2023,2023-W34,2023-08-27,USF,107
2023,2023-W34,2023-08-27,UAB,107
2023,2023-W34,2023-08-27,Central Michigan,107
2023,2023-W34,2023-08-27,Rice,110
2023,2023-W34,2023-08-27,Bowling Green,110
2023,2023-W34,2023-08-27,Ball St,110
2023,2023-W34,2023-08-27,Colorado,113
2023,2023-W34,2023-08-27,Liberty,113
2023,2023-W34,2023-08-27,Akron,113
2023,2023-W34,2023-08-27,Louisiana Tech,115
2023,2023-W34,2023-08-27,Utah St,115
2023,2023-W34,2023-08-27,Stanford,120
2023,2023-W34,2023-08-27,Charlotte,120
2023,2023-W34,2023-08-27,Northern Illinois,120
2023,2023-W34,2023-08-27,Old Dominion,120
2023,2023-W34,2023-08-27,Nevada,120
2023,2023-W34,2023-08-27,Arkansas St,121
2023,2023-W34,2023-08-27,UNLV,122
2023,2023-W34,2023-08-27,La Tech,123
2023,2023-W34,2023-08-27,Western Michigan,126
2023,2023-W34,2023-08-27,Kent St,126
2023,2023-W34,2023-08-27,Texas St,126
2023,2023-W34,2023-08-27,New Mexico,127
2023,2023-W34,2023-08-27,Sam Houston,128
2023,2023-W34,2023-08-27,San Jose St,129
2023,2023-W34,2023-08-27,Ohio,130
2023,2023-W34,2023-08-27,UTEP,131
2023,2023-W34,2023-08-27,Hawaii,132
2023,2023-W34,2023-08-27,New Mexico St,133
2023,2023-W34,2023-08-27,FIU,134
2023,2023-W35,2023-09-03,Florida St,1
2023,2023-W35,2023-09-03,Penn St,2
2023,2023-W35,2023-09-03,Minnesota,3
2023,2023-W35,2023-09-03,Washington,4
2023,2023-W35,2023-09-03,Notre Dame,5
2023,2023-W35,2023-09-03,Utah,6
2023,2023-W35,2023-09-03,Ohio St,7
2023,2023-W35,2023-09-03,Tennessee,8
2023,2023-W35,2023-09-03,Illinois,9
2023,2023-W35,2023-09-03,Fresno St,10
2023,2023-W35,2023-09-03,Wyoming,11
2023,2023-W35,2023-09-03,Alabama,12
2023,2023-W35,2023-09-03,USC,13
2023,2023-W35,2023-09-03,Texas,14
2023,2023-W35,2023-09-03,Houston,15
2023,2023-W35,2023-09-03,Iowa,16
2023,2023-W35,2023-09-03,Wisconsin,17
2023,2023-W35,2023-09-03,Auburn,18
2023,2023-W35,2023-09-03,Georgia,19
2023,2023-W35,2023-09-03,Oregon St,21
2023,2023-W35,2023-09-03,Colorado,21
2023,2023-W35,2023-09-03,Louisville,22
2023,2023-W35,2023-09-03,Michigan,23
2023,2023-W35,2023-09-03,UCLA,24
2023,2023-W35,2023-09-03,Oklahoma,25
2023,2023-W35,2023-09-03,Texas A&M,26
2023,2023-W35,2023-09-03,Clemson,27
2023,2023-W35,2023-09-03,ULM,28
2023,2023-W35,2023-09-03,Oregon,29
2023,2023-W35,2023-09-03,Duke,30
2023,2023-W35,2023-09-03,Kentucky,31
2023,2023-W35,2023-09-03,NC State,32
2023,2023-W35,2023-09-03,Kansas St,34
2023,2023-W35,2023-09-03,Kansas,34
2023,2023-W35,2023-09-03,South Carolina,35
2023,2023-W35,2023-09-03,Iowa St,36
2023,2023-W35,2023-09-03,Maryland,37
2023,2023-W35,2023-09-03,Mississippi St,40
2023,2023-W35,2023-09-03,WKU,40
2023,2023-W35,2023-09-03,San Diego St,40
2023,2023-W35,2023-09-03,Texas St,41
2023,2023-W35,2023-09-03,LSU,45
2023,2023-W35,2023-09-03,Memphis,45
2023,2023-W35,2023-09-03,Tulane,45
2023,2023-W35,2023-09-03,James Madison,45
2023,2023-W35,2023-09-03,Virginia Tech,46
2023,2023-W35,2023-09-03,Pittsburgh,48
2023,2023-W35,2023-09-03,Arkansas,48
2023,2023-W35,2023-09-03,North Carolina,49
2023,2023-W35,2023-09-03,West Virginia,50
2023,2023-W35,2023-09-03,SMU,52
2023,2023-W35,2023-09-03,BYU,52
2023,2023-W35,2023-09-03,Missouri,55
2023,2023-W35,2023-09-03,Mississippi,55
2023,2023-W35,2023-09-03,Troy,55
2023,2023-W35,2023-09-03,California,56
2023,2023-W35,2023-09-03,Wake Forest,59
2023,2023-W35,2023-09-03,Michigan St,59
2023,2023-W35,2023-09-03,Air Force,59
2023,2023-W35,2023-09-03,UCF,60
2023,2023-W35,2023-09-03,Rutgers,61
2023,2023-W35,2023-09-03,Jacksonville St,62
2023,2023-W35,2023-09-03,Arizona,64
2023,2023-W35,2023-09-03,Oklahoma St,64
2023,2023-W35,2023-09-03,Washington St,65
2023,2023-W35,2023-09-03,Temple,66
2023,2023-W35,2023-09-03,Nebraska,68
2023,2023-W35,2023-09-03,Vanderbilt,68
2023,2023-W35,2023-09-03,South Alabama,69
2023,2023-W35,2023-09-03,"Miami, Fl",72
2023,2023-W35,2023-09-03,Louisiana,72
2023,2023-W35,2023-09-03,Marshall,72
2023,2023-W35,2023-09-03,Florida,75
2023,2023-W35,2023-09-03,Boise St,75
2023,2023-W35,2023-09-03,Navy,75
2023,2023-W35,2023-09-03,East Carolina,76
2023,2023-W35,2023-09-03,Syracuse,78
2023,2023-W35,2023-09-03,Southern Miss,78
2023,2023-W35,2023-09-03,FAU,80
2023,2023-W35,2023-09-03,Cincinnati,80
2023,2023-W35,2023-09-03,Appalachian St,82
2023,2023-W35,2023-09-03,Georgia St,82
2023,2023-W35,2023-09-03,Indiana,83
2023,2023-W35,2023-09-03,Liberty,84
2023,2023-W35,2023-09-03,N Illinois,85
2023,2023-W35,2023-09-03,Arizona St,87
2023,2023-W35,2023-09-03,Tulsa,87
2023,2023-W35,2023-09-03,"Miami, Oh",89
2023,2023-W35,2023-09-03,Eastern Michigan,89
2023,2023-W35,2023-09-03,Georgia Southern,90
2023,2023-W35,2023-09-03,Wash St,91
2023,2023-W35,2023-09-03,Texas Tech,92
2023,2023-W35,2023-09-03,Toledo,93
2023,2023-W35,2023-09-03,Purdue,94
2023,2023-W35,2023-09-03,UAB,95
2023,2023-W35,2023-09-03,Virginia,97
2023,2023-W35,2023-09-03,Central Michigan,97
2023,2023-W35,2023-09-03,Middle Tenn,98
2023,2023-W35,2023-09-03,Louisiana Tech,99
2023,2023-W35,2023-09-03,UTSA,101
2023,2023-W35,2023-09-03,Charlotte,101
2023,2023-W35,2023-09-03,Northern Illinois,102
2023,2023-W35,2023-09-03,Rice,104
2023,2023-W35,2023-09-03,UNLV,104
2023,2023-W35,2023-09-03,TCU,106
2023,2023-W35,2023-09-03,Stanford,106
2023,2023-W35,2023-09-03,Nevada,107
2023,2023-W35,2023-09-03,Western Michigan,108
2023,2023-W35,2023-09-03,Buffalo,109
2023,2023-W35,2023-09-03,Utah St,114
2023,2023-W35,2023-09-03,W Michigan,114
2023,2023-W35,2023-09-03,E Michigan,114
2023,2023-W35,2023-09-03,Miss St,114
2023,2023-W35,2023-09-03,N Carolina,114
2023,2023-W35,2023-09-03,Tennessee State,115
2023,2023-W35,2023-09-03,UMass,116
2023,2023-W35,2023-09-03,Georgia Tech,118
2023,2023-W35,2023-09-03,UT Martin,118
2023,2023-W35,2023-09-03,E Carolina,119
2023,2023-W35,2023-09-03,Army,120
2023,2023-W35,2023-09-03,Arkansas St,121
2023,2023-W35,2023-09-03,Coastal Carolina,122
2023,2023-W35,2023-09-03,New Mexico,123
2023,2023-W35,2023-09-03,Portland State,124
2023,2023-W35,2023-09-03,Connecticut,125
2023,2023-W35,2023-09-03,Baylor,127
2023,2023-W35,2023-09-03,San Jose St,127
2023,2023-W35,2023-09-03,Ball St,130
2023,2023-W35,2023-09-03,Missouri State,130
2023,2023-W35,2023-09-03,Southeast Missouri State,130
2023,2023-W35,2023-09-03,Northern Iowa,131
2023,2023-W35,2023-09-03,Ohio,132
2023,2023-W35,2023-09-03,Towson,133
2023,2023-W35,2023-09-03,USF,134
2023,2023-W35,2023-09-03,Idaho State,135
2023,2023-W35,2023-09-03,Bucknell,137
2023,2023-W35,2023-09-03,Bethune-Cookman,137
2023,2023-W35,2023-09-03,S Alabama,138
2023,2023-W35,2023-09-03,Wofford,140
2023,2023-W35,2023-09-03,Western Carolina,140
2023,2023-W35,2023-09-03,South Dakota,143
2023,2023-W35,2023-09-03,Mercer,143
2023,2023-W35,2023-09-03,Stephen F. Austin,143
2023,2023-W35,2023-09-03,North Texas,144
2023,2023-W35,2023-09-03,Elon,146
2023,2023-W35,2023-09-03,Robert Morris,146
2023,2023-W35,2023-09-03,La Tech,148
2023,2023-W35,2023-09-03,C Michigan,148
2023,2023-W35,2023-09-03,Northwestern,150
2023,2023-W35,2023-09-03,East Tennessee State,150
2023,2023-W35,2023-09-03,UTEP,151
2023,2023-W35,2023-09-03,Kent St,152
2023,2023-W35,2023-09-03,Central Arkansas,153
2023,2023-W35,2023-09-03,Old Dominion,155
2023,2023-W35,2023-09-03,Northern Arizona,155
2023,2023-W35,2023-09-03,Sam Houston,156
2023,2023-W35,2023-09-03,Akron,158
2023,2023-W35,2023-09-03,Alabama A&M,158
2023,2023-W35,2023-09-03,UAlbany,160
2023,2023-W35,2023-09-03,Northwestern State,160
