year,week,date,team,rank
2018,2018-W34,2018-08-26,Alabama,1
2018,2018-W34,2018-08-26,Ohio St,2
2018,2018-W34,2018-08-26,Clemson,3
2018,2018-W34,2018-08-26,Georgia,5
2018,2018-W34,2018-08-26,Wisconsin,5
2018,2018-W34,2018-08-26,Oklahoma,6
2018,2018-W34,2018-08-26,Washington,7
2018,2018-W34,2018-08-26,Michigan St,8
2018,2018-W34,2018-08-26,Michigan,9
2018,2018-W34,2018-08-26,Penn St,11
2018,2018-W34,2018-08-26,Notre Dame,11
2018,2018-W34,2018-08-26,Auburn,14
2018,2018-W34,2018-08-26,Texas,14
2018,2018-W34,2018-08-26,Stanford,14
2018,2018-W34,2018-08-26,"Miami, Fl",20
2018,2018-W34,2018-08-26,Mississippi St,20
2018,2018-W34,2018-08-26,Boston College,20
2018,2018-W34,2018-08-26,Duke,20
2018,2018-W34,2018-08-26,Iowa St,20
2018,2018-W34,2018-08-26,USC,20
2018,2018-W34,2018-08-26,Pittsburgh,22
2018,2018-W34,2018-08-26,South Carolina,22
2018,2018-W34,2018-08-26,Utah,25
2018,2018-W34,2018-08-26,Kansas St,25
2018,2018-W34,2018-08-26,Boise St,25
2018,2018-W34,2018-08-26,NC State,30
2018,2018-W34,2018-08-26,Florida,30
2018,2018-W34,2018-08-26,LSU,30
2018,2018-W34,2018-08-26,Memphis,30
2018,2018-W34,2018-08-26,Oklahoma St,30
2018,2018-W34,2018-08-26,Texas A&M,33
2018,2018-W34,2018-08-26,Florida St,33
2018,2018-W34,2018-08-26,Arizona,33
2018,2018-W34,2018-08-26,Missouri,42
2018,2018-W34,2018-08-26,Iowa,42
2018,2018-W34,2018-08-26,Northwestern,42
2018,2018-W34,2018-08-26,Wake Forest,42
2018,2018-W34,2018-08-26,Louisville,42
2018,2018-W34,2018-08-26,West Virginia,42
2018,2018-W34,2018-08-26,TCU,42
2018,2018-W34,2018-08-26,Baylor,42
2018,2018-W34,2018-08-26,California,42
2018,2018-W34,2018-08-26,North Carolina,43
2018,2018-W34,2018-08-26,Virginia Tech,45
2018,2018-W34,2018-08-26,UCF,45
2018,2018-W34,2018-08-26,Georgia Tech,49
2018,2018-W34,2018-08-26,Oregon,49
2018,2018-W34,2018-08-26,Texas Tech,49
2018,2018-W34,2018-08-26,FAU,49
2018,2018-W34,2018-08-26,Purdue,55
2018,2018-W34,2018-08-26,Indiana,55
2018,2018-W34,2018-08-26,Temple,55
2018,2018-W34,2018-08-26,Navy,55
2018,2018-W34,2018-08-26,Fresno St,55
2018,2018-W34,2018-08-26,Wyoming,55
2018,2018-W34,2018-08-26,Minnesota,56
2018,2018-W34,2018-08-26,Mississippi,59
2018,2018-W34,2018-08-26,UCLA,59
2018,2018-W34,2018-08-26,Ohio,59
2018,2018-W34,2018-08-26,Nebraska,62
2018,2018-W34,2018-08-26,Arkansas,62
2018,2018-W34,2018-08-26,Arizona St,62
2018,2018-W34,2018-08-26,Houston,64
2018,2018-W34,2018-08-26,San Diego St,64
2018,2018-W34,2018-08-26,Colorado,68
2018,2018-W34,2018-08-26,Army,68
2018,2018-W34,2018-08-26,Marshall,68
2018,2018-W34,2018-08-26,Louisiana Tech,68
2018,2018-W34,2018-08-26,Washington St,71
2018,2018-W34,2018-08-26,Middle Tenn,71
2018,2018-W34,2018-08-26,Toledo,71
2018,2018-W34,2018-08-26,Kentucky,78
2018,2018-W34,2018-08-26,Maryland,78
2018,2018-W34,2018-08-26,Miami (OH),78
2018,2018-W34,2018-08-26,Northern Illinois,78
2018,2018-W34,2018-08-26,Utah St,78
2018,2018-W34,2018-08-26,Troy,78
2018,2018-W34,2018-08-26,Nevada,78
2018,2018-W34,2018-08-26,Syracuse,81
2018,2018-W34,2018-08-26,Vanderbilt,81
2018,2018-W34,2018-08-26,Appalachian St,81
2018,2018-W34,2018-08-26,Tennessee,85
2018,2018-W34,2018-08-26,Illinois,85
2018,2018-W34,2018-08-26,Buffalo,85
2018,2018-W34,2018-08-26,Air Force,85
2018,2018-W34,2018-08-26,Tulane,88
2018,2018-W34,2018-08-26,USF,88
2018,2018-W34,2018-08-26,BYU,88
2018,2018-W34,2018-08-26,Eastern Michigan,89
2018,2018-W34,2018-08-26,Virginia,93
2018,2018-W34,2018-08-26,Tulsa,93
2018,2018-W34,2018-08-26,UAB,93
2018,2018-W34,2018-08-26,North Texas,93
2018,2018-W34,2018-08-26,Rutgers,97
2018,2018-W34,2018-08-26,Kansas,97
2018,2018-W34,2018-08-26,Western Michigan,97
2018,2018-W34,2018-08-26,Arkansas St,97
2018,2018-W34,2018-08-26,UMass,98
2018,2018-W34,2018-08-26,Oregon St,101
2018,2018-W34,2018-08-26,ULM,101
2018,2018-W34,2018-08-26,UNLV,101
2018,2018-W34,2018-08-26,Old Dominion,102
2018,2018-W34,2018-08-26,Cincinnati,105
2018,2018-W34,2018-08-26,SMU,105
2018,2018-W34,2018-08-26,Georgia Southern,105
2018,2018-W34,2018-08-26,Central Michigan,106
2018,2018-W34,2018-08-26,Hawaii,107
2018,2018-W34,2018-08-26,FIU,110
2018,2018-W34,2018-08-26,Akron,110
2018,2018-W34,2018-08-26,Bowling Green,110
2018,2018-W34,2018-08-26,East Carolina,111
2018,2018-W34,2018-08-26,New Mexico,112
2018,2018-W34,2018-08-26,Connecticut,115
2018,2018-W34,2018-08-26,Southern Miss,115
2018,2018-W34,2018-08-26,South Alabama,115
2018,2018-W34,2018-08-26,Coastal Carolina,116
2018,2018-W34,2018-08-26,WKU,117
